,username,date,message,topic
17,AntoineFandePS3,29 novembre 2022 à 09:46:16, C'est trop compliqué de poster des flics discrets puis choper les voleurs sur le tas ?  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
18,imelon,29 novembre 2022 à 09:47:21, Nanted ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
19,zinzin_malin1,29 novembre 2022 à 09:47:54, NANTES ! ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
0,Jeanculasec1er,29 novembre 2022 à 08:34:03, https://twitter.com/CNEWSEWS/status/1597473379950501889titre   ,Paris : Un rat sort de la manche
1,Jeanculasec1er,29 novembre 2022 à 08:34:39," Paris : interrogée par CNews alors qu’elle sort du métro, un rat sort de sa manche  ",Paris : Un rat sort de la manche
2,Anyny_Wonky,29 novembre 2022 à 08:36:02, Il n'avait pas à faire ça on est d'accord. ,Paris : Un rat sort de la manche
3,Vener44,29 novembre 2022 à 08:36:16, Oui mais au moins ils ont le métro et la tour Eiffel  ,Paris : Un rat sort de la manche
4,yixoh38014,29 novembre 2022 à 08:37:25, Ahi cet enfer  ,Paris : Un rat sort de la manche
5,Holdenolebeau,29 novembre 2022 à 08:37:44, Paris  ,Paris : Un rat sort de la manche
6,CouillesLisses,29 novembre 2022 à 08:38:25, On dit surmulot  ,Paris : Un rat sort de la manche
7,Asska,29 novembre 2022 à 08:39:18, Le titre est malheureusement nofake ,Paris : Un rat sort de la manche
8,TrevorSomething,29 novembre 2022 à 08:39:50, On en parle de la réaction du journaliste? Au moindre comportement sortant de l'ordinaire ils prennent les gens pour des fous. Il allait couper l'entretient avec cette dame en pensant qu'elle était folle  ,Paris : Un rat sort de la manche
9,TontonJVC1,29 novembre 2022 à 08:40:04, Comment font les provinciaux pour vivre ailleurs ? Ici à Paris on a le métro et la tour eiffel ,Paris : Un rat sort de la manche
10,Jeanculasec1er,29 novembre 2022 à 08:40:11,  ,Paris : Un rat sort de la manche
11,TrevorSomething,29 novembre 2022 à 08:40:33, Et les rats  ,Paris : Un rat sort de la manche
12,BalaiAFranges,29 novembre 2022 à 08:41:24," Et la commission européenne veut interdire les pièges à rat , Le nombre de rats surmulots c'est surtout à cause des gros dégueulasses qui jettent de la bouffe et leurs déchets par terre ",Paris : Un rat sort de la manche
13,chevre_mutante2,29 novembre 2022 à 08:43:19," Voilà, c'est ça que j'ai trouvé le plus insolite  , + une fois qu'il a comprit ce qu'il se passait, ça à fait 180° dans sa tete, bien évidemment  ",Paris : Un rat sort de la manche
14,Jeanculasec1er,29 novembre 2022 à 08:43:35,  ,Paris : Un rat sort de la manche
15,Natsuki-A-Nice,29 novembre 2022 à 08:44:48, Le journalisme en 2022. ,Paris : Un rat sort de la manche
16,Hyponyme,29 novembre 2022 à 08:45:10," Une souris, pas un rat. Déjà., C'est sûrement une espèce de SDF la dame aussi. ",Paris : Un rat sort de la manche
17,spoiltwds11,29 novembre 2022 à 08:46:27, ville de lumière ,Paris : Un rat sort de la manche
18,Larmes-Belge,29 novembre 2022 à 08:46:30, C’est surtout pas une mise en scène hein ?  ,Paris : Un rat sort de la manche
19,Bocolom,29 novembre 2022 à 08:47:42, Incroyable ce tour de magie ,Paris : Un rat sort de la manche
0,HommeFraiseBG10,10 octobre 2022 à 15:10:42," Merci de pas delete les modos, vous avez supprimé le topic original !  ",[ALERTE] Russie/Ukraine… Suite/suite
1,Proutinix,10 octobre 2022 à 15:11:31, Y a avait pas 10e PayPal pour une Vive la Lituanie libre en première page? ,[ALERTE] Russie/Ukraine… Suite/suite
2,Troll_Sage_6,10 octobre 2022 à 15:12:34, Vive l'Ukraine  ,[ALERTE] Russie/Ukraine… Suite/suite
3,KOL245,10 octobre 2022 à 15:12:44, Jifu  ,[ALERTE] Russie/Ukraine… Suite/suite
4,HommeFraise,10 octobre 2022 à 15:13:10, On va jamais y arriver  ,[ALERTE] Russie/Ukraine… Suite/suite
5,Pedrieche,10 octobre 2022 à 15:13:25, Slava Ukraini  ,[ALERTE] Russie/Ukraine… Suite/suite
6,HommeFraise,10 octobre 2022 à 15:13:32, Evidemment  ,[ALERTE] Russie/Ukraine… Suite/suite
7,OffensiveRusse,10 octobre 2022 à 15:13:37, Ca fait beaucoup de topics là  ,[ALERTE] Russie/Ukraine… Suite/suite
8,Framero,10 octobre 2022 à 15:13:45, Slava ukraini  !!!   ,[ALERTE] Russie/Ukraine… Suite/suite
9,Klaus-Schwab,10 octobre 2022 à 15:13:51, Les proutinix  ,[ALERTE] Russie/Ukraine… Suite/suite
10,HommeFraise,10 octobre 2022 à 15:13:59, Bah je sais pas pk les modos ont supprimé l'original ,[ALERTE] Russie/Ukraine… Suite/suite
11,,, Soutien aux Ukrainiens  ,[ALERTE] Russie/Ukraine… Suite/suite
12,LaFukai,10 octobre 2022 à 15:14:06, first page ,[ALERTE] Russie/Ukraine… Suite/suite
13,HommeFraise,10 octobre 2022 à 15:14:32, Total et absolu !  ,[ALERTE] Russie/Ukraine… Suite/suite
14,bananpoo,10 octobre 2022 à 15:14:33,  ,[ALERTE] Russie/Ukraine… Suite/suite
15,Pteranobite,10 octobre 2022 à 15:14:50, Resumax du week end?  ,[ALERTE] Russie/Ukraine… Suite/suite
16,The_Chazz,10 octobre 2022 à 15:14:55, Vive la lithuanie  ,[ALERTE] Russie/Ukraine… Suite/suite
17,Framero,10 octobre 2022 à 15:15:10, À bas proutine   ,[ALERTE] Russie/Ukraine… Suite/suite
18,Ioiqdhsjk,10 octobre 2022 à 15:15:16, Supprimed. ,[ALERTE] Russie/Ukraine… Suite/suite
19,nausicaa104,10 octobre 2022 à 15:15:21," La vie d'inna anéanti,   ",[ALERTE] Russie/Ukraine… Suite/suite
0,CurveDAO,29 novembre 2022 à 00:55:27," putain comment négocier, sachant que je suis leur n°1 dans le processus d'embauche en dessous de 42k je n'accepte pas  ",Fourchette salaire INGÉ 27k-37k
1,gomugomunostyle,29 novembre 2022 à 00:56:53," ""je n'accepterai pas en dessous de 42k"" topic clos ",Fourchette salaire INGÉ 27k-37k
2,FouneVelue,29 novembre 2022 à 00:57:16," Faut avoir plusieurs offres et faire jouer les enchères , Sinon go accepter et barre toi au bout d’un an. Y a que comme ça qu’on augmente vite ",Fourchette salaire INGÉ 27k-37k
3,CurveDAO,29 novembre 2022 à 00:57:24, faut le dire cash ou après une série d'arguments? pas trop risqué ? ,Fourchette salaire INGÉ 27k-37k
4,_[Blackdream]_,29 novembre 2022 à 00:58:37, et pourquoi pas? ,Fourchette salaire INGÉ 27k-37k
5,CurveDAO,29 novembre 2022 à 00:58:53, j'en ai une à 42k comment ça m'aide?  ,Fourchette salaire INGÉ 27k-37k
6,jerrix,29 novembre 2022 à 00:59:50," accepte pas en desssous de 42k, je suis a 45 k, ça me fait du 2600 net ",Fourchette salaire INGÉ 27k-37k
7,ELRAPIDO9,29 novembre 2022 à 01:00:25," les mecs, vous êtes pas ingénieur en physique quantique à un moment accepter ce qu'on vous donne ",Fourchette salaire INGÉ 27k-37k
8,CurveDAO,29 novembre 2022 à 01:00:55, tu as trouvé où?  ,Fourchette salaire INGÉ 27k-37k
9,CurveDAO,29 novembre 2022 à 01:01:22, non ingé en IA  ,Fourchette salaire INGÉ 27k-37k
10,TheFourchette_,29 novembre 2022 à 01:02:54, Mouais... ,Fourchette salaire INGÉ 27k-37k
11,CurveDAO,29 novembre 2022 à 01:08:36, up ,Fourchette salaire INGÉ 27k-37k
12,esclavedociles,29 novembre 2022 à 01:10:26, Perso inge en ia 32k net Par contre j'ai négocier rupture conventionnelle  au bout de 6 mois pour avoir le chômage ,Fourchette salaire INGÉ 27k-37k
13,gomugomunostyle,29 novembre 2022 à 01:10:46, en vrai j'en sais rien je suis encore un célestin dans ses études mais bon courage ,Fourchette salaire INGÉ 27k-37k
14,Barakouda8,29 novembre 2022 à 08:06:16, Tu dit que tu est demander dans d'autres boîtes ,Fourchette salaire INGÉ 27k-37k
15,Abdel_Von_Musel,29 novembre 2022 à 08:10:15, Quelle école ? Polytech ? ,Fourchette salaire INGÉ 27k-37k
16,CurveDAO,29 novembre 2022 à 08:16:17, up ,Fourchette salaire INGÉ 27k-37k
17,CurveDAO,29 novembre 2022 à 08:27:23, up ,Fourchette salaire INGÉ 27k-37k
18,LZ10,29 novembre 2022 à 08:29:15," Mais vous avez le diplôme d'ingénieur et vous continuez de taffer en France, selectioned ",Fourchette salaire INGÉ 27k-37k
19,JEFUXnt,29 novembre 2022 à 08:30:06," Perso, ingé aussi et je viens d'avoir mon premier salaire de 51k en province , En voyant ce que l'état me vole Je pourrais plus demander en dessous  sachant que j'étais partie comme toi pour un salaire de 42k mini ",Fourchette salaire INGÉ 27k-37k
0,Jepetesapue,29 novembre 2022 à 00:35:41, c'est vrai ? ,les TATOUAGES sont un marqueur SOCIAL
1,Jepetesapue,29 novembre 2022 à 00:38:51, tatouage Tribal sur Aurélien 31 ans employé marketing ,les TATOUAGES sont un marqueur SOCIAL
2,Jepetesapue,29 novembre 2022 à 00:39:55," tatouages de taulard sur les avants-bras sur Damien 28 ans, employé à l'accueil d'une banque ",les TATOUAGES sont un marqueur SOCIAL
3,jdillaaaa,29 novembre 2022 à 00:40:00, tatouage ce qu'on veut sur qui veut en fait le rageux   ,les TATOUAGES sont un marqueur SOCIAL
4,Jepetesapue,29 novembre 2022 à 00:40:30, c'est pour qu'on te remarque l'aw ,les TATOUAGES sont un marqueur SOCIAL
5,ArianaBezMoiPTN,29 novembre 2022 à 00:40:36, Ça permet de reconnaître les k sos ,les TATOUAGES sont un marqueur SOCIAL
6,Ban40lechoncle,29 novembre 2022 à 00:41:28, https://www.youtube.com/watch?v=TvEXAV1AQqI ,les TATOUAGES sont un marqueur SOCIAL
7,PoingsDeGzuz,29 novembre 2022 à 00:41:34," C'est un panneau qui signifie ""ahuri caractériel et consumériste""  ",les TATOUAGES sont un marqueur SOCIAL
8,Jepetesapue,29 novembre 2022 à 00:42:45, tu as raison ,les TATOUAGES sont un marqueur SOCIAL
9,Jepetesapue,29 novembre 2022 à 00:44:42," ""le tatouage c'est une affirmation de soi""donc tu es tellement vide que t'as besoin de te dessiner un truc sur la peaules vrais hommes ont leur tatouage dans la tête ",les TATOUAGES sont un marqueur SOCIAL
10,EzeSoldier,29 novembre 2022 à 00:45:56," Les kheys 0 tout, puceaux de la bise qui parlent de marqueur social alors qu'ils portent ces chaussures : , changez rien  ",les TATOUAGES sont un marqueur SOCIAL
11,Jepetesapue,29 novembre 2022 à 00:46:15," bizarre le message s'est fait supprimer, qqn se sent concerné ? ",les TATOUAGES sont un marqueur SOCIAL
12,Jepetesapue,29 novembre 2022 à 00:46:29, on s'habille pas tous comme toi ,les TATOUAGES sont un marqueur SOCIAL
13,Bar-mitzvah,29 novembre 2022 à 00:46:43, Les pucix du 18-25 complètent bloqués en 2000 Allez dans certains pays notamment en Amérique du Sud ils sont TOUS tatoués ,les TATOUAGES sont un marqueur SOCIAL
14,PASHA_CARTIER,29 novembre 2022 à 00:46:48, Les tatoués sont vexés  ,les TATOUAGES sont un marqueur SOCIAL
15,Iscarolot,29 novembre 2022 à 00:47:14," Pas forcément, j'en ai un caché et c'est une connerie avec ma bande de pote ",les TATOUAGES sont un marqueur SOCIAL
16,Jepetesapue,29 novembre 2022 à 00:47:37, premier low ,les TATOUAGES sont un marqueur SOCIAL
17,EzeSoldier,29 novembre 2022 à 00:47:57," Laisse tomber, pour eux la danse c'est un truc de femme ou de gay Y'a rien à sauver chez eux  ",les TATOUAGES sont un marqueur SOCIAL
18,CardinalBatard,29 novembre 2022 à 00:48:40," Personnellement je suis full tatoué sur dos,cuisse et bassin. , Impossible de le savoir si je ne suis pas totalement a poil   ",les TATOUAGES sont un marqueur SOCIAL
19,Jepetesapue,29 novembre 2022 à 00:48:44, non c'est bien la danse ,les TATOUAGES sont un marqueur SOCIAL
0,VamosJuventus,29 novembre 2022 à 09:13:02," Perso :  Ne pas avoir assez bossé au lycée pour faire des études d'architecte (domaine qui me passionne même encore aujourd'hui)  Ne pas avoir eu les couilles avant de proposer à une meuf de sortir avec moi (  ) , Je vous écoute les kheys  ",Votre plus gros regret dans la vie ?
1,salanderrr,29 novembre 2022 à 09:14:29," Pareil, m’être gourée dans mes études + avoir perdu du temps avec des cassos. ",Votre plus gros regret dans la vie ?
2,VamosJuventus,29 novembre 2022 à 09:16:54," Je réussis mes études maintenant avec une excellente moyenne mais je sais que c'est un bullshit job je suis destiné à devenir chez de projet dans le numérique  C'est terrible quand j'y pense, je pourrais avoir mon diplôme d'archi maintenant et terminer ma dernière année pour obtenir ma maîtrise d'oeuvre  ",Votre plus gros regret dans la vie ?
3,salanderrr,29 novembre 2022 à 09:18:11, Ça va t’as une bonne carrière devant toi. Ton taf te passionne pas ? ,Votre plus gros regret dans la vie ?
4,artistepenseur,29 novembre 2022 à 09:20:29," N'avoir connu qu'une femme en 10 ans,L'impression d'avoir un trouble 10 ans dans le CV, d'avoir perdu ce temps que je ne rattraperai jamais ",Votre plus gros regret dans la vie ?
5,VamosJuventus,29 novembre 2022 à 09:21:06, Oui et non j'aime bien ce que je fais mais plus je travaille et plus je me dit que mon taffe ne sert à rien. Et je me dit aussi que dans un futur proche on va très probablement devenir useless. Avec l'arrivée de l'IA et les solutions qui permettent de créer des sites sans avoir besoin d'une agence font qu'il y a de moins en moins besoin de nous  ,Votre plus gros regret dans la vie ?
6,SageClairvoyant,29 novembre 2022 à 09:21:36, Avoir toujours écouté mes parents et les autres pour mes choix de vie ,Votre plus gros regret dans la vie ?
7,Neime,29 novembre 2022 à 09:22:19," Ne pas avoir fait les études que je voulais faire, avoir cédé aux caprices de ma mère. ",Votre plus gros regret dans la vie ?
8,Moine-Samourai,29 novembre 2022 à 09:22:25," L'école comme la majorité des mecs qui ont un cerveau et qui se sont retrouvé dans un boulot de nobrain.,  ",Votre plus gros regret dans la vie ?
9,oracleDissou41,29 novembre 2022 à 09:23:16," Pour l'architecture, je dirais que c'est très compétitif comme secteur, tu peux toujours t'y intéresser en passion , Pour les meufs, essaye de pas reproduire  , Moi je dirais juste l'anglais, je suis nul même si j'ai commencé à bien le bosser là  , J'ai toujours repoussé le truc et là ça commence à me bloquer pour des opportunités professionnelles  ",Votre plus gros regret dans la vie ?
10,SamusArrete,29 novembre 2022 à 09:23:36, J'ai l'impression d'avoir fait du mieux que je pouvais avec les cartes que j'avais  ,Votre plus gros regret dans la vie ?
11,VamosJuventus,29 novembre 2022 à 09:23:41, C'est fou le nombre qu'on est à regretté nos choix scolaires que ce soit le manque de boulot ou l'orientation  On a vraiment 0 de Qi au lycée  ,Votre plus gros regret dans la vie ?
12,pseudo312,29 novembre 2022 à 09:24:29," J'aurais peut-être préféré étudier un domaine de métier artisanal type horloger, sculpteur, cordonnier, vitrailiste, etc , car une fois que tu te lances dans le tertiaire dream, t'es un peu foutu, néanmoins je suis assez satisfait de ma vie actuelle, même si elle n'a rien de fameux ",Votre plus gros regret dans la vie ?
13,Goyokin06,29 novembre 2022 à 09:24:45, Être né ,Votre plus gros regret dans la vie ?
14,Hasimir-Fenring,29 novembre 2022 à 09:25:15," Ma vie est une longue succession de regrets , il y en a trop pour pouvoir les énumérer... ",Votre plus gros regret dans la vie ?
15,Introverti93,29 novembre 2022 à 09:25:27," Être perdu dans ma vie au final car rien ne me plait, J'attends qu'une chose c'est de trouver ma voie scolaire (le master qui me faut ou une réorientation) et par la même occasion ma voie pro..., Là ça va faire une semaine j'ai rien parce que j'ai arrêté mon alternance (donc pas de chomage) je déprime totalement ",Votre plus gros regret dans la vie ?
16,VamosJuventus,29 novembre 2022 à 09:27:21," Oui khey la journée d'hier m'a ouvert les yeux. Cf : https://www.jeuxvideo.com/forums/42-51-71218366-1-0-1-0-omg-les-kheys-j-en-reviens-pas.htm, Pour l'anglais en vrai c'est pas dramatique, ça s'apprend bien même plus vieux, et tu peux faire ça en dehors de ton boulot  Courage khey ça va le faire  ",Votre plus gros regret dans la vie ?
17,BalaiAFranges,29 novembre 2022 à 09:29:13, Ne pas avoir eu les couilles de me battre beaucoup plus contre ma phobie sociale et ma timidité maladive  ,Votre plus gros regret dans la vie ?
18,VamosJuventus,29 novembre 2022 à 09:29:33," Ca arrive khey t'en fais pas  Je suis passé aussi par la après le lycée  SUrtout ne reste pas à rien faire, je me suis renfermé sur moi même après un échec scolaire dans le supérieur et j'ai fait une sorte de dépression pendant 6/7 mois à force de rien foutre. C'est en allant bosser au Mc Do du coin et en retrouvant une activité que je me suis soigné  Faut surtout pas rester inactif trop longtemps  ",Votre plus gros regret dans la vie ?
19,AntoineFandePS3,29 novembre 2022 à 09:30:05, Ne pas avoir assez bossé les maths au lycée Etre resté timide  ,Votre plus gros regret dans la vie ?
0,APT-PURGE,13 octobre 2022 à 11:30:41, Encore 410  ,La journée de taf passe lentement
1,GauchoVener,13 octobre 2022 à 11:31:13, Abusé sérieux  ,La journée de taf passe lentement
2,APT-PURGE,13 octobre 2022 à 11:35:04," Franchement, je comprends même pas pourquoi c'est 410, on parle pas de politique, on parle pas de quelque chose politiquement incorrect, on est juste des branleurs  ",La journée de taf passe lentement
3,APT-PURGE,13 octobre 2022 à 11:45:14, Du coup ça bide  ,La journée de taf passe lentement
4,Valdivia,13 octobre 2022 à 11:46:18, Mais l’auteur n’avait pas envoyé un mp aux modos ?  ,La journée de taf passe lentement
5,GauchoVener,13 octobre 2022 à 11:48:48," Si justement, c'est d'autant plus étrange  ",La journée de taf passe lentement
6,Valdivia,13 octobre 2022 à 11:49:51, Ça devient vraiment n’importe quoi ce forum a Ddb sur tout  ,La journée de taf passe lentement
7,CobidGolem16,13 octobre 2022 à 12:01:41, Les modos  ,La journée de taf passe lentement
8,James_May4,13 octobre 2022 à 12:12:12," Bordel, pourquoi ils 410 un des seuls topax normal du forum   ",La journée de taf passe lentement
9,Kiwi_inconnu,13 octobre 2022 à 13:00:43," Il s'est passé quoi qui justifie le 410 ? Visiblement rien d'après les premières réponses à ce topicBien dommage pour une fois qu'il y a un topic assez actif, sans que personne ne s'echarpe autour de tel ou tel sujet, ouvert à tout ceux qu'ils le veulent...  ",La journée de taf passe lentement
10,James_May4,13 octobre 2022 à 13:34:58, Seulement 13h30. Encore au moins 3h à tuer avant de pouvoir se barrer sans paraître trop suspect   ,La journée de taf passe lentement
11,CobidGolem16,13 octobre 2022 à 13:37:38, 4h30 pour moi Heureusement que je suis en weekend ce soir  ,La journée de taf passe lentement
12,GauchoVener,13 octobre 2022 à 13:38:11," 1h30 de réunion de service, je suis fatigué d'avance  ",La journée de taf passe lentement
13,APT-PURGE,13 octobre 2022 à 14:05:18," Absolument rien, c'est bien ça le problème  ",La journée de taf passe lentement
14,Sashabracadabra,13 octobre 2022 à 14:46:23," J'ai pretexté un déplacement pro ce matin, résultats je me suis retrouvé 3h30 chez moi à regarder Baki ahi et à m'entrainer ",La journée de taf passe lentement
15,DentDeGorille,13 octobre 2022 à 14:47:28, Putain je bosse uniquement l'après-midi aujourd'hui donc j'y suis depuis 14h à peine je me fais déjà chier ayaoo la boucle  ,La journée de taf passe lentement
16,James_May4,13 octobre 2022 à 15:23:16, Mi temps  ,La journée de taf passe lentement
17,Sashabracadabra,13 octobre 2022 à 15:32:17, je me suis branlé chez moi ,La journée de taf passe lentement
18,Wayo8,13 octobre 2022 à 16:22:36, Vivement les vacances d'été  ,La journée de taf passe lentement
19,James_May4,13 octobre 2022 à 16:30:08," Aller je me casse, bonne soirée l'élite   ",La journée de taf passe lentement
0,OdellBeckham,27 novembre 2022 à 12:23:13," Le rer ou le métro qui puent la pisse, en sardine avec les boomers dépressifs, à côtoyer la saleté et le bruit, les sdf, les manouches qui jouent de leur merde a chaque arrêt, les connards de parisiens qui s’embrouillent ou tirent la gueule, subir l’alarme stridente des trains avant qu’ils ne partent, les putains de lycéens névrosés qui gueulent entre eux comme des animaux…MAIS LE PIRE DEPUIS LE DEBUT D'ANNEE SCOLAIRE C'EST LES HORAIRES ET LA FREQUENCE j'ai jamais vu ca en 20 ans, il y a rien qui fonctionne sa grande race, toujours des problèmes chaque jour, des bus qui ont des fréquences faméliques, il faut partir une 1h en avance pour avoir une chance d’être a l'heure...Le mythe sur les transports parisiens c'est quel délire sur ce forum? Je prefere me prendre un embouteillage sur le périphérique que de retourner dans cet enfer, envie de tuer des gens après. ",La putain de réalité DES TRANSPORTS
1,10h44,27 novembre 2022 à 12:24:20," désolé mais on habite pas tous en région parisienne, donc ta situation pourrie nous concerne pas forcément ",La putain de réalité DES TRANSPORTS
2,lamCons0mateurC,27 novembre 2022 à 12:25:50," Hier soir quand j’ai pris le métro , L’enfer  ",La putain de réalité DES TRANSPORTS
3,OdellBeckham,27 novembre 2022 à 12:36:22, Je parle évidemment de la région parisienne oui ,La putain de réalité DES TRANSPORTS
4,Deliveroo,27 novembre 2022 à 12:37:22," A Lyon ça fonctionne très bien et les transports sont propres, comparés à Paris. ",La putain de réalité DES TRANSPORTS
5,takethatvlad,27 novembre 2022 à 12:40:11," Ouais c'est franchement horrible...jamais vu ça depuis mon arrivée ici y a 4 ans, Heureusement que cette année mon alternance et mon école sont dans le même arrdt que mon studio...., De 2020 à 2022 mon alternance était à Rueil Malmaison et j'habitais vers Daumesnil. Je l'ai échappé belle... ",La putain de réalité DES TRANSPORTS
6,OdellBeckham,27 novembre 2022 à 12:47:41," J'en doute pas, el famoso meilleur réseau du monde, bah putain je veux pas prendre les transports dans les pays. Ca ressemble a quoi? Faut 4h pour arriver a destinations?, Imagine l'angoisse quand tu veux juste rentrer chez toi aprés une dur journée et que tu descends dans la station pour voir une horde humaine bloqué qui attend le prochain train...sah quel plaisir... ",La putain de réalité DES TRANSPORTS
7,Crash_Woah,27 novembre 2022 à 12:48:11," J'ai de nombreux problèmes de trains ses derniers temps, il ne faut pas habiter en bout de ligne, elles sont progressivement délaissés (problèmes récurrents, il n'y a plus d'accueil ou d'agents permanents mais des agents mobiles alors que la région s'accroît) ce qui n'est pas en adéquation avec la politique de repeuplement de l'arrière banlieue.Ensuite la ligne E qui est fermée   , Mais bon, la plupart du temps c'est dû aux travaux (JO ?) donc je relativise un peu, c'est du développement, mais parfois il y a des petits gens sur les voix et là bonjour la merde. ",La putain de réalité DES TRANSPORTS
8,OdellBeckham,27 novembre 2022 à 13:10:21," Les travaux oui mais là c'est pas possible, a 17h les gens sur les voies a Gare du Nord c'est pas possible, un seul retard sur cette ligne et tu va vivre un enfer.Je parlerai meme pas des malaise ou suicide a Vincennes ou Chatelet, là ton RER A tu va l'attendre longtemps et bonne chance pour monter dans la ligne 4 vers Chatelet également en heure de pointe, 1 fois sur 2 tu va ressentir le plaisir de la sardine., Nonobstant merci pour les bus qui sont en sous effectif également, j'imagine que c'est aussi pour les JO  ",La putain de réalité DES TRANSPORTS
9,OdellBeckham,27 novembre 2022 à 16:29:18, Et le Pass va augmenter en plus??? LA LOGIQUE??? ,La putain de réalité DES TRANSPORTS
10,FRAGILIUXx-REY,27 novembre 2022 à 16:30:37, l'op qui découvre la vie ,La putain de réalité DES TRANSPORTS
11,yixoh38014,27 novembre 2022 à 16:30:43, Vu que ça passe OKLM à sec sans vaseline autant se faire plaiz.  ,La putain de réalité DES TRANSPORTS
12,LeBien,27 novembre 2022 à 16:32:14, Btg ? On prend pas la voiture parce que nécessaire. On la prend parce que c’est un putain de confort comparé aux TC de ce shithole. ,La putain de réalité DES TRANSPORTS
13,JohnathanIngram,27 novembre 2022 à 16:41:22, D'accord mais t'as déjà pris les transports dans ce pays? Là c'est même pas enfoncer une porte ouverte c'est passer sous une arche  ,La putain de réalité DES TRANSPORTS
14,PlaiderLimite,27 novembre 2022 à 16:42:18," Le E cette ligne des enfers putain, Depuis 2014 tous les étés tu te retrouves avec un train qui ne dessert plus Saint Lazare ni GDN, qui passe une fois par 30 mn voire par heure et qui s'arrête de rouler à 23h30 , La surprise cette année, c'est qu'on est en Novembre et que les trains eux sont toujours en horaires d'été  , Et puis il faut en parler des trains, des merguez sur rail fatiguées, jaunies avec la peinture qui commence à se barrer. Les nouvelles rames accusent retard sur retard, et de toutes façons elles seront dans le même état vu que la SNCF ne connaît pas la notion de maintenance préventive ",La putain de réalité DES TRANSPORTS
15,0exclups4etps5,27 novembre 2022 à 16:42:44, Go permi ,La putain de réalité DES TRANSPORTS
16,GIO1028,27 novembre 2022 à 16:43:37," https://www.youtube.com/watch?v=yQefrP1nunE, Le RER sah what a pleasurents 75,20 euros mensuels bien investients  ",La putain de réalité DES TRANSPORTS
17,PlaiderLimite,27 novembre 2022 à 16:47:43, Digne du tiers monde qu'on devient   ,La putain de réalité DES TRANSPORTS
18,OlPacina,27 novembre 2022 à 16:48:04," à mtpplr est.pareil, trams constamment bondés et chaque fois une couille depuis le debut de l'annee scolaire ",La putain de réalité DES TRANSPORTS
19,OdellBeckham,27 novembre 2022 à 17:48:17, https://www.youtube.com/watch?v=4kgSHUgbWKg  ,La putain de réalité DES TRANSPORTS
